date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:26	2307/2307	---MC-	200	added ('OK')	text/xml	date:Sat,%2021%20Mar%202020%2016:58:25%20GMT	https://skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fskywarriorthemes.com%2Fblackfyre%2Fhomepage-blog-style%2F&format=xml	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed2eb2	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2016:58:25%20GMT	https://skywarriorthemes.com/blackfyre/?p=1671	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/index0f55.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:26	796/796	---MC-	200	added ('OK')	application/rss+xml	etag:%22e7a92a5391e56dada332c1030e3ba0b1%22	https://skywarriorthemes.com/blackfyre/homepage-blog-style/feed/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/homepage-blog-style/feed/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:26	226/226	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Mar%202020%2016:58:26%20GMT	https://skywarriorthemes.com/blackfyre/homepage-blog-style/%background%	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/homepage-blog-style/%background%	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:26	226/226	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Mar%202020%2016:58:26%20GMT	https://skywarriorthemes.com/blackfyre/homepage-blog-style/%pattern%	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/homepage-blog-style/%pattern%	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:27	60553/60553	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/c6-817x320.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/c6-817x320.jpg	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2016:58:27%20GMT	http://skywarriorthemes.com/blackfyre/?wordfence_lh=1&hid=DA24D5C25CFFC9B6785AA07B518A5F72	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/indexa26f.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:29	87925/87925	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/retribution_by_tamplierpainter-d79jjze-817x320.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/retribution_by_tamplierpainter-d79jjze-817x320.jpg	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:29	74249/74249	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2013/08/4-817x320.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2013/08/4-817x320.jpg	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:29	212156/212156	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:27%20GMT	https://skywarriorthemes.com/blackfyre/author/admin/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/author/admin/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:30	14724/14724	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:29%20GMT	https://skywarriorthemes.com/blackfyre/wp-login.php	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-login.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:35	192491/192491	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:29%20GMT	https://skywarriorthemes.com/blackfyre/2015/02/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/2015/02/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:35	190082/190082	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:29%20GMT	https://skywarriorthemes.com/blackfyre/2015/08/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/2015/08/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:36	190451/190451	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:29%20GMT	https://skywarriorthemes.com/blackfyre/2013/08/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/2013/08/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:36	196101/196101	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:31%20GMT	https://skywarriorthemes.com/blackfyre/2013/06/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/2013/06/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:37	2238/2238	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Mar%202020%2016:58:36%20GMT	https://skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fskywarriorthemes.com%2Fblackfyre%2Fhomepage-parallax%2F	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embedbda3.json	(from https://skywarriorthemes.com/blackfyre/homepage-parallax/)
11:58:38	193181/193181	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:36%20GMT	https://skywarriorthemes.com/blackfyre/2013/05/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/2013/05/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:38	200979/200979	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:36%20GMT	https://skywarriorthemes.com/blackfyre/category/adventure/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/category/adventure/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:38	201559/201559	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:37%20GMT	https://skywarriorthemes.com/blackfyre/category/blog/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/category/blog/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:39	2321/2321	---MC-	200	added ('OK')	text/xml	date:Sat,%2021%20Mar%202020%2016:58:38%20GMT	https://skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fskywarriorthemes.com%2Fblackfyre%2Fhomepage-parallax%2F&format=xml	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed4606	(from https://skywarriorthemes.com/blackfyre/homepage-parallax/)
11:58:39	190564/190564	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:38%20GMT	https://skywarriorthemes.com/blackfyre/category/classics/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/category/classics/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:39	190541/190541	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:38%20GMT	https://skywarriorthemes.com/blackfyre/category/music/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/category/music/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:39	198835/198835	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:38%20GMT	https://skywarriorthemes.com/blackfyre/category/online/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/category/online/index.html	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
11:58:39	226/226	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Mar%202020%2016:58:39%20GMT	https://skywarriorthemes.com/blackfyre/homepage-parallax/%background%	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/homepage-parallax/%background%	(from https://skywarriorthemes.com/blackfyre/homepage-parallax/)
